ID,Description,gene_ratio,fold_enrichment,p_value,fdr,study,timepoint,contrast,regulation
GO:0007507,heart development,10/132,-2.28438228438228,0.00934278076803486,0.175016149887233,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0043434,response to peptide hormone,11/132,-2.17777777777778,0.00937129578482471,0.175016149887233,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0031640,killing of cells of another organism,6/132,-3.09881422924901,0.00967221305368651,0.175016149887233,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0141060,disruption of anatomical structure in another organism,6/132,-3.09881422924901,0.00967221305368651,0.175016149887233,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0141061,disruption of cell in another organism,6/132,-3.09881422924901,0.00967221305368651,0.175016149887233,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0044093,positive regulation of molecular function,20/132,-1.6969696969697,0.0101754101364375,0.182203437755584,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:1901222,regulation of non-canonical NF-kappaB signal transduction,5/132,-3.49376114081996,0.0105980980239784,0.187772271123164,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0052548,regulation of endopeptidase activity,10/132,-2.24128073184677,0.0107048764223793,0.187772271123164,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0043067,regulation of programmed cell death,25/132,-1.5712682379349,0.011059623084886,0.191963780184604,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0010605,negative regulation of macromolecule metabolic process,31/132,-1.47888523792138,0.0111671774394766,0.191963780184604,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0019730,antimicrobial humoral response,7/132,-2.68230694037146,0.0120760164860522,0.205531409302216,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0042981,regulation of apoptotic process,24/132,-1.57508789552988,0.0124575409075095,0.209946204117733,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0010558,negative regulation of macromolecule biosynthetic process,22/132,-1.61316872427984,0.0127795849289864,0.211778640881284,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0010556,regulation of macromolecule biosynthetic process,44/132,-1.34707903780069,0.0128126693726896,0.211778640881284,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
