"study","timepoint","contrast","direction","fatty_acid","fatty_acid_name","enrichment_ratio","raw_p","fdr_native"
"Elicit","1 mo.","Nico","up","22:4(7Z,10Z,13Z,16Z)","Adrenic Acid",-0.00355202591466328,0.485316478456423,0.802638791293316
"Misame","1-2 mo.","BEP","up","17:0","Margaric Acid",0.00372895622895623,0.48610724306833,0.869748816185363
"Misame","1-2 mo.","BEP","up","14:1(9Z)","Myristoleic Acid",-0.0197522316317606,0.503538788317842,0.869748816185363
"Vital","1.5 mo.","BEP","up","22:5(4Z,7Z,10Z,13Z,16Z)",NA,-0.0203180640022745,0.508273152791904,0.889478017385831
"Misame","3-4 mo.","BEP","up","13:0","Tridecylic Acid",-0.00850769600769601,0.513007608727043,0.786746623881573
"Misame","14-21 days","BEP","up","16:1(9Z)","Palmitoleic Acid",0.00412306401105614,0.513008969868044,0.732869956954349
"Misame","3-4 mo.","BEP","down","20:0",NA,0.00771132160021049,0.529897298291548,0.84305645628716
"Misame","14-21 days","BEP","down","20:0",NA,-0.0109414890664891,0.530504381937117,0.665287981140981
"Vital","1.5 mo.","BEP","up","17:1(9Z)",NA,0.0101449099752267,0.535195187294829,0.899127914655313
"Misame","3-4 mo.","BEP","up","14:1(9Z)","Myristoleic Acid",0.00889924485104691,0.537115600419934,0.786746623881573
"Misame","1-2 mo.","BEP","down","18:0",NA,-0.0234178003017716,0.543854855786491,0.76140323303071
"Misame","3-4 mo.","BEP","down","16:0","Palmitic Acid",-0.0104042019534977,0.546846525328558,0.84305645628716
"Misame","3-4 mo.","BEP","up","12:0","Lauric Acid",-0.00400811777074403,0.548710756246258,0.786746623881573
"Misame","3-4 mo.","BEP","up","20:3(8Z,11Z,14Z)","Dihomo-γ-Linolenic Acid",-0.0113440902131378,0.550722636717101,0.786746623881573
"Misame","14-21 days","BEP","down","16:0","Palmitic Acid",-0.0225372333581289,0.554406650950818,0.665287981140981
"Misame","3-4 mo.","BEP","down","17:0","Margaric Acid",-0.0113002077287792,0.561932993634255,0.84305645628716
"Misame","1-2 mo.","BEP","down","22:0",NA,-0.00757243638196019,0.566830876620765,0.76140323303071
"Elicit","1 mo.","Nico","up","14:1(9Z)","Myristoleic Acid",0.00570231468507154,0.572567137828983,0.88597555930443
"Elicit","1 mo.","Nico","up","22:3(10Z,13Z,16Z)",NA,-0.0121698530746063,0.576914317686606,0.88597555930443
"Misame","3-4 mo.","BEP","down","15:0","Pentadecylic Acid",-0.0108332408332408,0.59684184352945,0.84305645628716
