"study","timepoint","contrast","direction","fatty_acid","fatty_acid_name","enrichment_ratio","raw_p","fdr_native"
"Misame","1-2 mo.","BEP/BEP","down","18:1(11Z)",NA,-0.0154432919278833,0.864267892144335,1
"Misame","1-2 mo.","IFA/BEP","down","22:0",NA,-0.0297442680776014,0.864662996340343,0.985875288691444
"Misame","3-4 mo.","IFA/BEP","up","20:2(11Z,14Z)","Eicosadienoic Acid",-0.00328789651706319,0.866572570818983,0.945247089593937
"Misame","3-4 mo.","IFA/BEP","up","22:6(4Z,7Z,10Z,13Z,16Z,19Z)",NA,-0.0658932513694418,0.868605433680915,0.945247089593937
"Misame","1-2 mo.","IFA/BEP","down","18:1(9Z)",NA,-0.032497273913314,0.869695158985976,0.985875288691444
"Vital","1.5 mo.","BEP+ExBf+AZT","up","18:0",NA,-0.00815280502320596,0.876196913997471,0.992121170463292
"Vital","1.5 mo.","BEP+ExBf+AZT","up","18:1(9Z)",NA,0.0125677052482222,0.876402485268489,0.992121170463292
"Misame","14-21 days","IFA/BEP","down","16:0","Palmitic Acid",0.0361320029177172,0.877293308544796,1
"Misame","1-2 mo.","BEP/BEP","down","17:1(9Z)",NA,-0.00333413157487232,0.878147369707058,1
"Misame","1-2 mo.","BEP/BEP","down","17:0","Margaric Acid",0.0234149453754929,0.879581567109705,1
"Vital","1.5 mo.","BEP+ExBf","up","16:1(9Z)","Palmitoleic Acid",0.0384634893222857,0.884327041247345,0.979929964625437
"Misame","14-21 days","BEP/BEP","up","18:1(9Z)",NA,-0.023767836700279,0.88623845043345,0.9847093893705
"Misame","1-2 mo.","IFA/BEP","up","22:1(11Z)",NA,-0.00904988257929434,0.891088587074199,1
"Misame","1-2 mo.","IFA/BEP","up","18:1(9Z)",NA,-0.0139565702887888,0.899892012781586,1
"Misame","1-2 mo.","IFA/BEP","down","18:0",NA,-0.0279412884617407,0.901658675108207,0.985875288691444
"Misame","1-2 mo.","IFA/BEP","up","22:4(7Z,10Z,13Z,16Z)","Adrenic Acid",-0.00115764893542671,0.905972663637546,1
"Vital","1.5 mo.","BEP+ExBf+AZT","up","18:1(11Z)",NA,-0.00224399692152381,0.90659972067682,0.992121170463292
"Misame","1-2 mo.","IFA/BEP","up","14:0","Myristic Acid",-0.00307912678592723,0.911043648822445,1
"Misame","14-21 days","IFA/BEP","up","20:3n6",NA,0.0133744374533848,0.914158470051725,0.994131232252013
"Misame","1-2 mo.","BEP/BEP","down","20:3(8Z,11Z,14Z)","Dihomo-γ-Linolenic Acid",0.00841851085838135,0.915041081977449,1
"Misame","1-2 mo.","IFA/BEP","up","19:0","Nonadecylic Acid",-0.00202676111767021,0.915315919647906,1
"Vital","1.5 mo.","BEP+ExBf+AZT","up","22:2(13Z,16Z)","13Z,16Z-Docosadienoic Acid",-0.0104836222670398,0.915804157350731,0.992121170463292
"Misame","3-4 mo.","IFA/BEP","up","20:5(5Z,8Z,11Z,14Z,17Z)",NA,-0.0424442045409787,0.917080806365118,0.969485423871696
"Misame","1-2 mo.","IFA/BEP","down","17:1(9Z)",NA,-0.0244078815157246,0.921032798020262,0.985875288691444
"Misame","1-2 mo.","BEP/IFA","down","15:1(9Z)","9Z-Pentadecenoic Acid",0.0145885358028215,0.922940237231185,1
"Misame","14-21 days","IFA/BEP","up","20:3(8Z,11Z,14Z)","Dihomo-γ-Linolenic Acid",-0.00666529458196125,0.926769116068599,0.994131232252013
"Misame","3-4 mo.","BEP/BEP","up","14:0","Myristic Acid",-0.00639568120793976,0.93445355617552,0.963452579518566
"Misame","3-4 mo.","BEP/BEP","up","19:0","Nonadecylic Acid",0.00230396616266181,0.937688386064512,0.963452579518566
"Misame","1-2 mo.","BEP/IFA","down","20:3(5Z,8Z,11Z)","Mead Acid",0.00733997524615373,0.938390323836564,1
"Vital","1.5 mo.","BEP+ExBf","up","20:5(5Z,8Z,11Z,14Z,17Z)",NA,-0.0451894170644171,0.939579583887493,1
"Misame","1-2 mo.","IFA/BEP","down","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",0.00159401069255493,0.942965587244364,0.985875288691444
"Misame","14-21 days","IFA/BEP","up","20:3(5Z,8Z,11Z)","Mead Acid",0.00352996983561785,0.943150143418577,0.994131232252013
"Misame","1-2 mo.","BEP/IFA","down","20:3n6",NA,-0.0137617337178741,0.94958157029827,1
"Misame","1-2 mo.","IFA/BEP","down","22:1(11Z)",NA,-0.00118256499835447,0.951728360748462,0.985875288691444
"Misame","1-2 mo.","IFA/BEP","down","22:3(10Z,13Z,16Z)",NA,0.0158912528328716,0.952950489196153,0.985875288691444
"Misame","1-2 mo.","BEP/BEP","down","18:2(9Z,12Z)",NA,0.0172739657249941,0.957860921898621,1
"Misame","14-21 days","BEP/BEP","up","18:2(9Z,12Z)",NA,-0.0222243910224158,0.960458333758019,1
"Misame","1-2 mo.","IFA/BEP","down","20:1(11Z)","Gondoic Acid",-0.0215356187022854,0.960596435135253,0.985875288691444
"Vital","1.5 mo.","BEP+ExBf+AZT","up","20:5(5Z,8Z,11Z,14Z,17Z)",NA,-0.0202659673659674,0.962902494947847,1
"Misame","3-4 mo.","BEP/BEP","up","18:0",NA,-0.0161822224757939,0.963452579518566,0.963452579518566
"Misame","14-21 days","IFA/BEP","down","20:1(11Z)","Gondoic Acid",-0.0119284561592254,0.965221600037317,1
"Misame","14-21 days","IFA/BEP","down","18:2(9Z,12Z)",NA,-0.0820379080795747,0.971527953974301,1
"Vital","1.5 mo.","BEP+ExBf","up","20:2(11Z,14Z)","Eicosadienoic Acid",0.00601950578802431,0.98375652450027,1
"Misame","14-21 days","IFA/BEP","up","16:1(9Z)","Palmitoleic Acid",-0.0243879457432668,0.988343454577629,1
"Misame","3-4 mo.","IFA/BEP","up","12:0","Lauric Acid",-0.00470318674544027,0.988939635231509,1
"Misame","14-21 days","BEP/BEP","up","20:1(11Z)","Gondoic Acid",-0.0369354675307056,0.990518195509642,1
"Misame","14-21 days","BEP/BEP","up","20:3(5Z,8Z,11Z)","Mead Acid",-0.00329988175841565,1,1
"Misame","14-21 days","BEP/BEP","up","22:6(4Z,7Z,10Z,13Z,16Z,19Z)",NA,-0.0800514735808853,1,1
"Misame","14-21 days","IFA/BEP","down","17:1(9Z)",NA,-0.0286488973988974,1,1
"Misame","14-21 days","IFA/BEP","up","17:1(9Z)",NA,-0.0329136419136419,1,1
"Misame","1-2 mo.","BEP/BEP","down","20:2(11Z,14Z)","Eicosadienoic Acid",0.00676924161886568,1,1
"Misame","1-2 mo.","BEP/BEP","down","22:0",NA,0.0189329805996473,1,1
"Misame","1-2 mo.","BEP/BEP","down","unknown",NA,-0.0208333333333333,1,1
"Misame","1-2 mo.","BEP/IFA","down","20:2n6","11,14-Eicosadienoic Acid",0.0027908324795243,1,1
"Misame","1-2 mo.","BEP/IFA","down","20:4(8Z,11Z,14Z,17Z)",NA,-0.00599983964942413,1,1
"Misame","1-2 mo.","BEP/IFA","down","PG(P-16:0)",NA,0.1,1,1
"Misame","1-2 mo.","IFA/BEP","down","20:4(8Z,11Z,14Z,17Z)",NA,-0.00436554429975482,1,1
"Misame","1-2 mo.","IFA/BEP","up","18:0",NA,-0.0408243276449798,1,1
"Misame","1-2 mo.","IFA/BEP","up","18:2(9Z,12Z)",NA,-0.0246622804560881,1,1
"Misame","1-2 mo.","IFA/BEP","up","20:2n6","11,14-Eicosadienoic Acid",-0.00682420102709957,1,1
"Misame","1-2 mo.","IFA/BEP","up","22:3(10Z,13Z,16Z)",NA,-0.00358685195641717,1,1
"Misame","1-2 mo.","IFA/BEP","up","22:5(4Z,7Z,10Z,13Z,16Z)",NA,-0.000908119658119655,1,1
"Misame","3-4 mo.","IFA/BEP","up","22:5(4Z,7Z,10Z,13Z,16Z)",NA,-0.0109896006771007,1,1
"Vital","1.5 mo.","BEP+ExBf","up","1-tetradecanoyl-2,3-dioleoyl-sn-glycerol",NA,0.00833333333333333,1,1
"Vital","1.5 mo.","BEP+ExBf","up","20:4(8Z,11Z,14Z,17Z)",NA,-0.00624067258277784,1,1
"Vital","1.5 mo.","BEP+ExBf+AZT","up","20:2n6","11,14-Eicosadienoic Acid",-0.0159190575294694,1,1
"Vital","1.5 mo.","BEP+ExBf+AZT","up","22:0",NA,-0.0149203805453806,1,1
