"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr"
"Misame (1-2 mo.)","BEP/IFA","down","Glutamate Metabolism",8,2,0.221,0.0183,0.31
"Misame (1-2 mo.)","BEP/IFA","down","Ketone Body Metabolism",1,1,0.0276,0.0276,0.31
"Misame (1-2 mo.)","BEP/IFA","down","Butyrate Metabolism",1,1,0.0276,0.0276,0.31
"Misame (1-2 mo.)","BEP/IFA","down","Mitochondrial Electron Transport Chain",1,1,0.0276,0.0276,0.31
"Misame (1-2 mo.)","BEP/IFA","down","Phytanic Acid Peroxisomal Oxidation",1,1,0.0276,0.0276,0.31
"Misame (1-2 mo.)","BEP/IFA","down","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",1,1,0.0276,0.0276,0.31
"Misame (1-2 mo.)","BEP/IFA","down","Arginine and Proline Metabolism",10,2,0.276,0.0284,0.31
"Misame (1-2 mo.)","BEP/IFA","down","Citric Acid Cycle",2,1,0.0553,0.0546,0.411
"Misame (1-2 mo.)","BEP/IFA","down","Pyruvate Metabolism",2,1,0.0553,0.0546,0.411
"Misame (1-2 mo.)","BEP/IFA","down","Gluconeogenesis",2,1,0.0553,0.0546,0.411
"Misame (1-2 mo.)","BEP/IFA","down","Malate-Aspartate Shuttle",2,1,0.0553,0.0546,0.411
"Misame (1-2 mo.)","BEP/IFA","down","Beta Oxidation of Very Long Chain Fatty Acids",3,1,0.0829,0.0808,0.528
"Misame (1-2 mo.)","BEP/IFA","down","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",3,1,0.0829,0.0808,0.528
"Misame (1-2 mo.)","BEP/IFA","down","Oxidation of Branched Chain Fatty Acids",4,1,0.111,0.106,0.584
"Misame (1-2 mo.)","BEP/IFA","down","Arachidonic Acid Metabolism",4,1,0.111,0.106,0.584
"Misame (1-2 mo.)","BEP/IFA","down","Tyrosine Metabolism",5,1,0.138,0.131,0.584
"Misame (1-2 mo.)","BEP/IFA","down","Alpha Linolenic Acid and Linoleic Acid Metabolism",5,1,0.138,0.131,0.584
"Misame (1-2 mo.)","BEP/IFA","down","Valine, Leucine and Isoleucine Degradation",5,1,0.138,0.131,0.584
"Misame (1-2 mo.)","BEP/IFA","down","Spermidine and Spermine Biosynthesis",5,1,0.138,0.131,0.584
"Misame (1-2 mo.)","BEP/IFA","down","Carnitine Synthesis",5,1,0.138,0.131,0.584
"Misame (1-2 mo.)","BEP/IFA","down","Purine Metabolism",6,1,0.166,0.155,0.626
"Misame (1-2 mo.)","BEP/IFA","down","Tryptophan Metabolism",6,1,0.166,0.155,0.626
"Misame (1-2 mo.)","BEP/IFA","down","Beta-Alanine Metabolism",7,1,0.193,0.179,0.626
"Misame (1-2 mo.)","BEP/IFA","down","Ammonia Recycling",7,1,0.193,0.179,0.626
"Misame (1-2 mo.)","BEP/IFA","down","Sphingolipid Metabolism",7,1,0.193,0.179,0.626
"Misame (1-2 mo.)","BEP/IFA","down","Urea Cycle",7,1,0.193,0.179,0.626
"Misame (1-2 mo.)","BEP/IFA","down","Aspartate Metabolism",8,1,0.221,0.202,0.682
"Misame (1-2 mo.)","BEP/IFA","down","Bile Acid Biosynthesis",15,1,0.415,0.346,1
"Misame (1-2 mo.)","BEP/IFA","up","Beta-Alanine Metabolism",7,2,0.0569,0.00109,0.0713
"Misame (1-2 mo.)","BEP/IFA","up","Histidine Metabolism",8,2,0.065,0.00145,0.0713
"Misame (1-2 mo.)","BEP/IFA","up","Taurine and Hypotaurine Metabolism",2,1,0.0163,0.0162,0.318
"Misame (1-2 mo.)","BEP/IFA","up","Pyrimidine Metabolism",2,1,0.0163,0.0162,0.318
"Misame (1-2 mo.)","BEP/IFA","up","Methylhistidine Metabolism",2,1,0.0163,0.0162,0.318
"Misame (1-2 mo.)","BEP/IFA","up","Propanoate Metabolism",3,1,0.0244,0.0242,0.396
"Misame (1-2 mo.)","BEP/IFA","up","Aspartate Metabolism",8,1,0.065,0.0636,0.89
"Misame (1-2 mo.)","BEP/IFA","up","Bile Acid Biosynthesis",15,1,0.122,0.117,1
"Misame (1-2 mo.)","IFA/BEP","down","Spermidine and Spermine Biosynthesis",5,3,0.203,0.000564,0.0553
"Misame (1-2 mo.)","IFA/BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism",5,2,0.203,0.0147,0.722
"Misame (1-2 mo.)","IFA/BEP","down","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",1,1,0.0407,0.0407,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Arginine and Proline Metabolism",10,2,0.407,0.0585,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Methionine Metabolism",11,2,0.447,0.0697,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Pyruvate Metabolism",2,1,0.0813,0.0797,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Gluconeogenesis",2,1,0.0813,0.0797,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Glycine and Serine Metabolism",13,2,0.528,0.0941,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Beta Oxidation of Very Long Chain Fatty Acids",3,1,0.122,0.117,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Homocysteine Degradation",3,1,0.122,0.117,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Fatty Acid Biosynthesis",3,1,0.122,0.117,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",3,1,0.122,0.117,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Catecholamine Biosynthesis",4,1,0.163,0.153,1
"Misame (1-2 mo.)","IFA/BEP","down","Arachidonic Acid Metabolism",4,1,0.163,0.153,1
"Misame (1-2 mo.)","IFA/BEP","down","Betaine Metabolism",4,1,0.163,0.153,1
"Misame (1-2 mo.)","IFA/BEP","down","Warburg Effect",5,1,0.203,0.188,1
"Misame (1-2 mo.)","IFA/BEP","down","Tryptophan Metabolism",6,1,0.244,0.221,1
"Misame (1-2 mo.)","IFA/BEP","down","Sphingolipid Metabolism",7,1,0.285,0.253,1
"Misame (1-2 mo.)","IFA/BEP","down","Urea Cycle",7,1,0.285,0.253,1
"Misame (3-4 mo.)","BEP/BEP","down","Glycine and Serine Metabolism",13,4,0.233,3.68e-05,0.0036
"Misame (3-4 mo.)","BEP/BEP","down","Methionine Metabolism",11,3,0.197,0.000652,0.032
"Misame (3-4 mo.)","BEP/BEP","down","Betaine Metabolism",4,2,0.0715,0.00171,0.056
"Misame (3-4 mo.)","BEP/BEP","down","Homocysteine Degradation",3,1,0.0537,0.0528,1
"Misame (3-4 mo.)","BEP/BEP","down","Catecholamine Biosynthesis",4,1,0.0715,0.0698,1
"Misame (3-4 mo.)","BEP/BEP","down","Spermidine and Spermine Biosynthesis",5,1,0.0894,0.0866,1
"Misame (3-4 mo.)","BEP/BEP","down","Sphingolipid Metabolism",7,1,0.125,0.119,1
"Misame (3-4 mo.)","BEP/BEP","down","Urea Cycle",7,1,0.125,0.119,1
"Misame (3-4 mo.)","BEP/BEP","down","Aspartate Metabolism",8,1,0.143,0.135,1
"Misame (3-4 mo.)","BEP/BEP","down","Arginine and Proline Metabolism",10,1,0.179,0.166,1
"Misame (3-4 mo.)","BEP/BEP","up","Pyrimidine Metabolism",2,1,0.00325,0.00325,0.239
"Misame (3-4 mo.)","BEP/BEP","up","Propanoate Metabolism",3,1,0.00488,0.00488,0.239
"Misame (3-4 mo.)","BEP/BEP","up","Beta-Alanine Metabolism",7,1,0.0114,0.0114,0.255
"Misame (3-4 mo.)","BEP/BEP","up","Histidine Metabolism",8,1,0.013,0.013,0.255
"Misame (3-4 mo.)","BEP/BEP","up","Aspartate Metabolism",8,1,0.013,0.013,0.255
"Misame (3-4 mo.)","BEP/IFA","down","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",1,1,0.0065,0.0065,0.634
"Misame (3-4 mo.)","BEP/IFA","down","Beta Oxidation of Very Long Chain Fatty Acids",3,1,0.0195,0.0194,0.634
"Misame (3-4 mo.)","BEP/IFA","down","Fatty Acid Biosynthesis",3,1,0.0195,0.0194,0.634
"Misame (3-4 mo.)","BEP/IFA","down","Methionine Metabolism",11,1,0.0715,0.0698,1
"Misame (3-4 mo.)","BEP/IFA","down","Glycine and Serine Metabolism",13,1,0.0846,0.0821,1
"Misame (3-4 mo.)","BEP/IFA","up","Ketone Body Metabolism",1,1,0.00488,0.00488,0.12
"Misame (3-4 mo.)","BEP/IFA","up","Butyrate Metabolism",1,1,0.00488,0.00488,0.12
"Misame (3-4 mo.)","BEP/IFA","up","Mitochondrial Electron Transport Chain",1,1,0.00488,0.00488,0.12
"Misame (3-4 mo.)","BEP/IFA","up","Phytanic Acid Peroxisomal Oxidation",1,1,0.00488,0.00488,0.12
"Misame (3-4 mo.)","BEP/IFA","up","Citric Acid Cycle",2,1,0.00976,0.00974,0.191
"Misame (3-4 mo.)","BEP/IFA","up","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",3,1,0.0146,0.0146,0.237
"Misame (3-4 mo.)","BEP/IFA","up","Oxidation of Branched Chain Fatty Acids",4,1,0.0195,0.0194,0.237
"Misame (3-4 mo.)","BEP/IFA","up","Valine, Leucine and Isoleucine Degradation",5,1,0.0244,0.0242,0.237
"Misame (3-4 mo.)","BEP/IFA","up","Carnitine Synthesis",5,1,0.0244,0.0242,0.237
"Misame (3-4 mo.)","BEP/IFA","up","Warburg Effect",5,1,0.0244,0.0242,0.237
"Misame (3-4 mo.)","BEP/IFA","up","Tryptophan Metabolism",6,1,0.0293,0.029,0.259
"Misame (3-4 mo.)","BEP/IFA","up","Glutamate Metabolism",8,1,0.039,0.0386,0.315
"Misame (3-4 mo.)","BEP/IFA","up","Arginine and Proline Metabolism",10,1,0.0488,0.0481,0.362
"Misame (3-4 mo.)","IFA/BEP","down","Methionine Metabolism",11,3,0.233,0.00111,0.06
"Misame (3-4 mo.)","IFA/BEP","down","Homocysteine Degradation",3,2,0.0634,0.00122,0.06
"Misame (3-4 mo.)","IFA/BEP","down","Glycine and Serine Metabolism",13,3,0.275,0.00187,0.0612
"Misame (3-4 mo.)","IFA/BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism",5,2,0.106,0.00398,0.0976
"Misame (3-4 mo.)","IFA/BEP","down","Pantothenate and CoA Biosynthesis",1,1,0.0211,0.0211,0.345
"Misame (3-4 mo.)","IFA/BEP","down","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",1,1,0.0211,0.0211,0.345
