study,timepoint,contrast,direction,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
Mumta-LW,1.5 mo.,BEP+ExBf,up,Methylhistidine Metabolism,2,0.302,1,0.28,1,3.3112582781456954
MISAME-III,3-4 mo.,BEP/BEP,down,Sphingolipid Metabolism,3,0.311,1,0.283,1,-3.215434083601286
MISAME-III,3-4 mo.,BEP/BEP,down,Homocysteine Degradation,3,0.311,1,0.283,1,-3.215434083601286
ELICIT,1 mo.,Az.,up,Glycine and Serine Metabolism,11,0.311,1,0.283,1,3.215434083601286
Mumta-LW,1.5 mo.,BEP+ExBf,up,Ammonia Recycling,7,1.06,2,0.285,1,1.8867924528301885
Mumta-LW,1.5 mo.,BEP+ExBf,up,Aspartate Metabolism,7,1.06,2,0.285,1,1.8867924528301885
MISAME-III,14-21 days,BEP/IFA,up,Ammonia Recycling,7,0.33,1,0.294,1,3.0303030303030303
MISAME-III,1-2 mo.,BEP/IFA,up,Aspartate Metabolism,7,0.33,1,0.294,1,3.0303030303030303
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,Purine Metabolism,5,0.33,1,0.294,1,3.0303030303030303
ELICIT,5 mo.,Nico,down,"Valine, Leucine and Isoleucine Degradation",5,0.33,1,0.294,1,-3.0303030303030303
ELICIT,5 mo.,Nico,down,Purine Metabolism,5,0.33,1,0.294,1,-3.0303030303030303
MISAME-III,1-2 mo.,BEP/IFA,down,Arachidonic Acid Metabolism,2,0.321,1,0.296,1,-3.115264797507788
MISAME-III,1-2 mo.,BEP/IFA,down,Malate-Aspartate Shuttle,2,0.321,1,0.296,1,-3.115264797507788
MISAME-III,14-21 days,BEP/IFA,down,Arginine and Proline Metabolism,9,0.34,1,0.303,1,-2.941176470588235
MISAME-III,3-4 mo.,BEP/IFA,down,Methionine Metabolism,9,0.34,1,0.303,1,-2.941176470588235
MISAME-III,3-4 mo.,BEP/IFA,up,Arginine and Proline Metabolism,9,0.34,1,0.303,1,2.941176470588235
ELICIT,1 mo.,Az.,down,Propanoate Metabolism,3,0.34,1,0.305,1,-2.941176470588235
ELICIT,1 mo.,Az.,down,Betaine Metabolism,3,0.34,1,0.305,1,-2.941176470588235
ELICIT,1 mo.,Az.,down,Bile Acid Biosynthesis,10,1.13,2,0.315,1,-1.7699115044247788
MISAME-III,3-4 mo.,IFA/BEP,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.368,1,0.327,1,-2.717391304347826
MISAME-III,3-4 mo.,IFA/BEP,down,Betaine Metabolism,3,0.368,1,0.327,1,-2.717391304347826
MISAME-III,3-4 mo.,IFA/BEP,down,Fatty Acid Biosynthesis,3,0.368,1,0.327,1,-2.717391304347826
ELICIT,1 mo.,Nico+Az.,down,Alanine Metabolism,3,0.368,1,0.327,1,-2.717391304347826
ELICIT,1 mo.,Nico+Az.,down,Homocysteine Degradation,3,0.368,1,0.327,1,-2.717391304347826
ELICIT,1 mo.,Nico,down,"Valine, Leucine and Isoleucine Degradation",5,0.377,1,0.33,1,-2.6525198938992043
MISAME-III,14-21 days,BEP/BEP,down,Glutathione Metabolism,4,0.377,1,0.331,1,-2.6525198938992043
MISAME-III,14-21 days,BEP/BEP,down,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.377,1,0.331,1,-2.6525198938992043
MISAME-III,14-21 days,BEP/BEP,down,Warburg Effect,4,0.377,1,0.331,1,-2.6525198938992043
MISAME-III,14-21 days,BEP/IFA,down,Bile Acid Biosynthesis,10,0.377,1,0.331,1,-2.6525198938992043
ELICIT,5 mo.,Az.,down,Glutathione Metabolism,4,0.377,1,0.331,1,-2.6525198938992043
ELICIT,5 mo.,Az.,down,Carnitine Synthesis,4,0.377,1,0.331,1,-2.6525198938992043
ELICIT,5 mo.,Nico+Az.,down,Bile Acid Biosynthesis,10,0.377,1,0.331,1,-2.6525198938992043
ELICIT,1 mo.,Nico,up,Urea Cycle,7,0.396,1,0.343,1,2.525252525252525
ELICIT,1 mo.,Nico,up,Aspartate Metabolism,7,0.396,1,0.343,1,2.525252525252525
Mumta-LW,1.5 mo.,BEP+ExBf,up,Glutamate Metabolism,8,1.21,2,0.347,1,1.6528925619834711
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.396,1,0.349,1,-2.525252525252525
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Betaine Metabolism,3,0.396,1,0.349,1,-2.525252525252525
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Homocysteine Degradation,3,0.396,1,0.349,1,-2.525252525252525
MISAME-III,14-21 days,IFA/BEP,down,Cysteine Metabolism,2,0.396,1,0.358,1,-2.525252525252525
MISAME-III,14-21 days,IFA/BEP,down,Taurine and Hypotaurine Metabolism,2,0.396,1,0.358,1,-2.525252525252525
MISAME-III,14-21 days,IFA/BEP,down,Arachidonic Acid Metabolism,2,0.396,1,0.358,1,-2.525252525252525
MISAME-III,14-21 days,IFA/BEP,down,Phosphatidylethanolamine Biosynthesis,2,0.396,1,0.358,1,-2.525252525252525
MISAME-III,1-2 mo.,BEP/BEP,down,Catecholamine Biosynthesis,2,0.396,1,0.358,1,-2.525252525252525
MISAME-III,1-2 mo.,BEP/BEP,down,Arachidonic Acid Metabolism,2,0.396,1,0.358,1,-2.525252525252525
MISAME-III,3-4 mo.,BEP/IFA,down,Glycine and Serine Metabolism,11,0.415,1,0.359,1,-2.4096385542168677
ELICIT,1 mo.,Az.,down,Glycine and Serine Metabolism,11,1.25,2,0.361,1,-1.6
MISAME-III,1-2 mo.,BEP/IFA,down,Glutamate Metabolism,8,1.28,2,0.377,1,-1.5625
ELICIT,1 mo.,Az.,down,Oxidation of Branched Chain Fatty Acids,4,0.453,1,0.386,1,-2.2075055187637966
ELICIT,1 mo.,Az.,down,Carnitine Synthesis,4,0.453,1,0.386,1,-2.2075055187637966
