study,timepoint,contrast,direction,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
MISAME-III,14-21 days,IFA/BEP,down,Glutamate Metabolism,8,0.26,3,0.00149,0.073,-11.538461538461538
Mumta-LW,2 mo.,BEP+ExBf,up,Tryptophan Metabolism,6,0.0683,2,0.00163,0.08,29.282576866764277
MISAME-III,3-4 mo.,BEP/BEP,down,Betaine Metabolism,4,0.0715,2,0.00171,0.056,-27.972027972027973
MISAME-III,3-4 mo.,IFA/BEP,down,Glycine and Serine Metabolism,13,0.275,3,0.00187,0.0612,-10.909090909090908
ELICIT,1 mo.,Nico+Az.,down,Glutathione Metabolism,4,0.078,2,0.00205,0.0287,-25.641025641025642
ELICIT,1 mo.,Nico+Az.,down,Betaine Metabolism,4,0.078,2,0.00205,0.0287,-25.641025641025642
MISAME-III,1-2 mo.,BEP/IFA,down,Fatty Acid Biosynthesis,3,0.0829,2,0.00213,0.208,-24.125452352231605
MISAME-III,1-2 mo.,BEP/BEP,up,Beta-Alanine Metabolism,7,0.0797,2,0.00227,0.0985,25.094102885821833
Mumta-LW,1.5 mo.,BEP+ExBf,down,Methionine Metabolism,11,0.0894,2,0.00283,0.195,-22.371364653243848
MISAME-III,1-2 mo.,BEP/BEP,up,Histidine Metabolism,8,0.0911,2,0.00301,0.0985,21.95389681668496
MISAME-III,3-4 mo.,BEP/BEP,up,Pyrimidine Metabolism,2,0.00325,1,0.00325,0.239,307.6923076923077
ELICIT,5 mo.,Az.,up,Nucleotide Sugars Metabolism,1,0.00325,1,0.00325,0.318,307.6923076923077
ELICIT,1 mo.,Az.,down,Warburg Effect,5,0.0976,2,0.00338,0.166,-20.491803278688522
ELICIT,1 mo.,Nico+Az.,down,Spermidine and Spermine Biosynthesis,5,0.0976,2,0.00338,0.0368,-20.491803278688522
ELICIT,1 mo.,Nico+Az.,down,Carnitine Synthesis,5,0.0976,2,0.00338,0.0368,-20.491803278688522
ELICIT,5 mo.,Az.,down,Purine Metabolism,6,0.0976,2,0.00345,0.117,-20.491803278688522
MISAME-III,14-21 days,BEP/BEP,down,Beta-Alanine Metabolism,7,0.102,2,0.00385,0.125,-19.607843137254903
MISAME-III,3-4 mo.,IFA/BEP,down,Alpha Linolenic Acid and Linoleic Acid Metabolism,5,0.106,2,0.00398,0.0976,-18.867924528301888
Mumta-LW,1.5 mo.,BEP+ExBf,down,Glycine and Serine Metabolism,13,0.106,2,0.00398,0.195,-18.867924528301888
MISAME-III,14-21 days,IFA/BEP,down,Methionine Metabolism,11,0.358,3,0.00412,0.133,-8.379888268156424
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Alpha Linolenic Acid and Linoleic Acid Metabolism,5,0.114,2,0.00463,0.227,-17.543859649122805
MISAME-III,1-2 mo.,BEP/BEP,down,Methionine Metabolism,11,0.376,3,0.00476,0.233,-7.9787234042553195
ELICIT,5 mo.,Az.,down,Beta-Alanine Metabolism,7,0.114,2,0.00479,0.117,-17.543859649122805
ELICIT,5 mo.,Az.,down,Ammonia Recycling,7,0.114,2,0.00479,0.117,-17.543859649122805
MISAME-III,3-4 mo.,BEP/BEP,up,Propanoate Metabolism,3,0.00488,1,0.00488,0.239,204.91803278688525
MISAME-III,3-4 mo.,BEP/IFA,up,Ketone Body Metabolism,1,0.00488,1,0.00488,0.12,204.91803278688525
MISAME-III,3-4 mo.,BEP/IFA,up,Butyrate Metabolism,1,0.00488,1,0.00488,0.12,204.91803278688525
MISAME-III,3-4 mo.,BEP/IFA,up,Mitochondrial Electron Transport Chain,1,0.00488,1,0.00488,0.12,204.91803278688525
MISAME-III,3-4 mo.,BEP/IFA,up,Phytanic Acid Peroxisomal Oxidation,1,0.00488,1,0.00488,0.12,204.91803278688525
MISAME-III,14-21 days,BEP/BEP,down,Histidine Metabolism,8,0.117,2,0.0051,0.125,-17.094017094017094
MISAME-III,14-21 days,IFA/BEP,down,Glutathione Metabolism,4,0.13,2,0.0058,0.133,-15.384615384615383
ELICIT,5 mo.,Az.,down,Histidine Metabolism,8,0.13,2,0.00633,0.124,-15.384615384615383
MISAME-III,14-21 days,BEP/IFA,down,Ketone Body Metabolism,1,0.0065,1,0.0065,0.127,-153.84615384615384
MISAME-III,14-21 days,BEP/IFA,down,Butyrate Metabolism,1,0.0065,1,0.0065,0.127,-153.84615384615384
MISAME-III,14-21 days,BEP/IFA,down,Mitochondrial Electron Transport Chain,1,0.0065,1,0.0065,0.127,-153.84615384615384
MISAME-III,14-21 days,BEP/IFA,down,Phytanic Acid Peroxisomal Oxidation,1,0.0065,1,0.0065,0.127,-153.84615384615384
MISAME-III,3-4 mo.,BEP/IFA,down,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.0065,1,0.0065,0.634,-153.84615384615384
ELICIT,5 mo.,Az.,up,Lactose Degradation,2,0.0065,1,0.0065,0.318,153.84615384615384
ELICIT,5 mo.,Nico+Az.,down,Steroid Biosynthesis,1,0.0065,1,0.0065,0.319,-153.84615384615384
ELICIT,5 mo.,Nico+Az.,down,Fatty Acid Elongation In Mitochondria,1,0.0065,1,0.0065,0.319,-153.84615384615384
MISAME-III,1-2 mo.,BEP/IFA,down,Warburg Effect,5,0.138,2,0.00686,0.31,-14.492753623188404
