"","Interval","L","M","S","Delta","-3 SD","-2 SD","-1 SD","Median","1 SD","2 SD","3 SD","sex","agerange","interval1","interval2"
"182","6-12mo",0.4895,2037.9406,0.26076,350,410,766,1192,1688,2255,2893,3602,"Male",6,182.5002,365.0004
"183","7-13mo",0.5168,1903.183,0.27848,350,288,637,1059,1553,2119,2755,3461,"Male",6,212.9169,395.4171
"184","8-14mo",0.5442,1794.7774,0.29319,350,192,536,954,1445,2006,2636,3333,"Male",6,243.3336,425.8338
"185","9-15mo",0.5697,1709.1588,0.30394,350,122,460,874,1359,1912,2531,3212,"Male",6,273.7503,456.2505
"186","10-16mo",0.5943,1651.415,0.31109,350,73,409,821,1301,1847,2454,3120,"Male",6,304.167,486.6672
"187","11-17mo",0.619,1616.6162,0.31517,350,40,377,789,1267,1806,2403,3053,"Male",6,334.5837,517.0839
"188","12-18mo",0.6428,1590.6081,0.31683,350,16,355,766,1241,1772,2357,2990,"Male",6,365.0004,547.5006
"189","13-19mo",0.6649,1571.5549,0.31675,350,0,340,751,1222,1745,2316,2932,"Male",6,395.4171,577.9173
"190","14-20mo",0.6849,1557.0267,0.31549,350,-11,331,741,1207,1722,2281,2880,"Male",6,425.8338,608.334
"191","15-21mo",0.7027,1545.9058,0.31347,350,-18,326,735,1196,1702,2249,2832,"Male",6,456.2505,638.7507
"192","16-22mo",0.7187,1533.6871,0.31113,350,-23,322,728,1184,1681,2215,2783,"Male",6,486.6672,669.1674
"193","17-23mo",0.7336,1520.616,0.30878,350,-27,318,721,1171,1659,2181,2733,"Male",6,517.0839,699.5841
"194","18-24mo",0.7478,1508.4744,0.30647,350,-31,314,715,1158,1638,2148,2687,"Male",6,547.5006,730.0008
