row_id,compartment,timepoint,feature,mz,rt,ion_mode,effect_size,raw_p,fdr,direction,putative_name,n_candidates,normalized_name,supplement_feature,supplement_detected,supplement_reliably_detected,supplement_abundant,match_type,supplement_match_ppm,supplement_status,ct_key,ct_label,supplement_label,tracking_name,n_cells,n_comp
437,Maternal plasma,pn12,RLC_NEG_MTB_933434,218.1024,0.1591333,negative,0.997704129386194,7.134180392274771e-9,9.87829192173189e-6,Upregulated,(R)-Pantothenate,1,rpantothenate,rLC_neg_mtb_1355357,TRUE,TRUE,FALSE,Mass within 25 ppm,3.66798836513236,Reliably detected,Maternal plasma · pn12,Maternal plasma · 1-2 months,Detected in supplement,(R)-Pantothenate,2,2
669,Milk,pn34,RLC_POS_MTB_3065186,242.1008,NA,positive,1.21,NA,6.699999999999999e-35,Upregulated,(R)-Pantothenate,1,rpantothenate,NA,NA,NA,NA,NA,NA,No matched supplement feature,Milk · pn34,Milk · 3-4 months,Not reliably detected in supplement,(R)-Pantothenate,2,2
402,Maternal plasma,pn12,RLC_NEG_MTB_844638,147.0295,0.1178,negative,0.672162029771925,1.3592522191271e-4,0.014366933364128,Upregulated,(S)-2-Hydroxyglutarate,9,s2hydroxyglutarate,rLC_neg_mtb_1331796,TRUE,TRUE,FALSE,Mass within 25 ppm,1.36027308847039,Reliably detected,Maternal plasma · pn12,Maternal plasma · 1-2 months,Detected in supplement,(S)-2-Hydroxyglutarate,2,2
948,Milk,pn34,RLC_NEG_MTB_1335731,148.0329,NA,negative,0.47,NA,0.015,Upregulated,(S)-2-Hydroxyglutarate,2,s2hydroxyglutarate,rLC_neg_mtb_1335731,TRUE,TRUE,FALSE,Exact feature identifier,0,Reliably detected,Milk · pn34,Milk · 3-4 months,Detected in supplement,(S)-2-Hydroxyglutarate,2,2
22,Infant VAMS,pn56,VAM_2001392,142.998,0.167,negative,0.96516602064093,1.42502400173102e-22,1.3808838832774e-18,Upregulated,4-Hydroxy-2-oxoglutarate,1,4hydroxy2oxoglutarate,rLC_neg_mtb_1354577,TRUE,TRUE,FALSE,Mass within 25 ppm,1.3986229157247,Reliably detected,Infant VAMS · pn56,Infant VAMS · 5-6 months,Detected in supplement,4-Hydroxy-2-oxoglutarate,3,3
36,Maternal VAMS,pn56,VAM_2001392,142.998,0.167,negative,0.535829644980467,2.6131571806873e-6,0.0067525723653747,Upregulated,4-Hydroxy-2-oxoglutarate,1,4hydroxy2oxoglutarate,rLC_neg_mtb_1354577,TRUE,TRUE,FALSE,Mass within 25 ppm,1.3986229157247,Reliably detected,Maternal VAMS · pn56,Maternal VAMS · 5-6 months,Detected in supplement,4-Hydroxy-2-oxoglutarate,3,3
703,Milk,pn34,RLC_NEG_MTB_1830814,142.9984,NA,negative,0.87,NA,7.1e-13,Upregulated,4-Hydroxy-2-oxoglutarate,1,4hydroxy2oxoglutarate,rLC_neg_mtb_1354577,TRUE,TRUE,FALSE,Mass within 25 ppm,4.19586874757161,Reliably detected,Milk · pn34,Milk · 3-4 months,Detected in supplement,4-Hydroxy-2-oxoglutarate,3,3
393,Maternal plasma,pn12,RLC_NEG_MTB_821230,57.0349,0.1198667,negative,0.69773964431993,1.4466418394353e-4,0.0147595537144492,Upregulated,Acetone,2,acetone,rLC_neg_mtb_1270497,TRUE,TRUE,FALSE,Mass within 25 ppm,0,Reliably detected,Maternal plasma · pn12,Maternal plasma · 1-2 months,Detected in supplement,Acetone,2,2
937,Milk,pn34,RLC_NEG_MTB_1483668,57.0349,NA,negative,0.47,NA,0.014,Upregulated,Acetone,2,acetone,rLC_neg_mtb_1270497,TRUE,TRUE,FALSE,Mass within 25 ppm,0,Reliably detected,Milk · pn34,Milk · 3-4 months,Detected in supplement,Acetone,2,2
370,Maternal plasma,pn12,RLC_NEG_MTB_711927,322.0438,0.09506667,negative,1.01248293419524,3.11935752602347e-8,3.35937475788694e-5,Upregulated,CMP,1,cmp,NA,NA,NA,NA,NA,NA,No matched supplement feature,Maternal plasma · pn12,Maternal plasma · 1-2 months,Not reliably detected in supplement,CMP,2,2
847,Milk,pn34,RLC_NEG_MTB_1261959,363.0727,NA,negative,0.51,NA,0.005,Upregulated,CMP,1,cmp,rLC_neg_mtb_5671697,TRUE,TRUE,FALSE,Mass within 25 ppm,3.85599192221922,Reliably detected,Milk · pn34,Milk · 3-4 months,Detected in supplement,CMP,2,2
27,Infant VAMS,pn56,VAM_2004310,228.994,0.163,negative,0.926576869265405,1.99842516820165e-22,1.5492191588932799e-18,Upregulated,Citrate,2,citrate,rLC_neg_mtb_1299266,TRUE,TRUE,FALSE,Mass within 25 ppm,2.18346808965397,Reliably detected,Infant VAMS · pn56,Infant VAMS · 5-6 months,Detected in supplement,Citrate,4,4
42,Maternal VAMS,pn56,VAM_2004310,228.994,0.163,negative,0.707743370344804,3.0402747303272894e-11,1.68348698317452e-7,Upregulated,Citrate,2,citrate,rLC_neg_mtb_1299266,TRUE,TRUE,FALSE,Mass within 25 ppm,2.18346808965397,Reliably detected,Maternal VAMS · pn56,Maternal VAMS · 5-6 months,Detected in supplement,Citrate,4,4
403,Maternal plasma,pn12,RLC_NEG_MTB_845389,192.0227,0.1529333,negative,0.790331243224001,3.10879729747578e-5,0.00669600395684089,Upregulated,Citrate,2,citrate,rLC_neg_mtb_310189,TRUE,TRUE,FALSE,Mass within 25 ppm,0.520772033994425,Reliably detected,Maternal plasma · pn12,Maternal plasma · 1-2 months,Detected in supplement,Citrate,4,4
