Pathway,Overlap Size,Pathway Size,Enrichment Ratio,P-value,FDR,Study,Time Point,Contrast,Regulation,Ionization Mode
Putative anti-Inflammatory metabolites formation from EPA,3,5,-0.6,0.0110074783631628,0.598605159230317,MISAME,14-21 days,BEP/BEP,Downregulated,Positive
Vitamin D3 (cholecalciferol) metabolism,4,6,-0.667,0.011343584572725,0.449962188051424,MISAME,1-2 mo.,BEP/IFA,Downregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,24,85,0.282,0.011343584572725,0.674943282077136,MISAME,1-2 mo.,IFA/BEP,Upregulated,Negative
Prostaglandin formation from dihomo gama-linoleic acid,3,3,-1,0.0114276111251155,0.27197714477775,MISAME,3-4 mo.,BEP/BEP,Downregulated,Negative
Prostaglandin formation from arachidonate,12,38,-0.316,0.0114276111251155,0.679942861944375,ELICIT,5 mo.,Az.,Downregulated,Negative
Arachidonic acid metabolism,8,17,-0.471,0.0115956642298966,0.4599613477859,MISAME,1-2 mo.,BEP/BEP,Downregulated,Positive
Di-unsaturated fatty acid beta-oxidation,7,16,-0.438,0.0115956642298966,0.327972439290816,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
3-oxo-10R-octadecatrienoate beta-oxidation,2,2,-1,0.0118477438870683,0.25569279892446,ELICIT,5 mo.,Az.,Downregulated,Positive
Prostaglandin formation from arachidonate,19,50,-0.38,0.0120157969918494,0.35746996050752,MISAME,14-21 days,IFA/BEP,Downregulated,Negative
C5-Branched dibasic acid metabolism,7,13,-0.538,0.0121838500966305,0.299974792034283,ELICIT,5 mo.,Nico+Az.,Downregulated,Negative
Galactose metabolism,16,48,-0.333,0.0124359297538022,0.493291880234154,ELICIT,1 mo.,Nico,Downregulated,Negative
Pentose phosphate pathway,14,40,-0.35,0.0124359297538022,0.493291880234154,ELICIT,1 mo.,Nico,Downregulated,Negative
Pyruvate Metabolism,18,50,-0.36,0.0126039828585833,0.299974792034283,ELICIT,5 mo.,Nico+Az.,Downregulated,Negative
Leukotriene metabolism,12,32,-0.375,0.0126880094109739,0.215696159986556,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Carbon fixation,9,18,0.5,0.0126880094109739,0.592450214267709,ELICIT,1 mo.,Nico,Upregulated,Negative
R Group Synthesis,2,2,-1,0.0127720359633644,0.265362316030327,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Mono-unsaturated fatty acid beta-oxidation,2,2,-1,0.0127720359633644,0.265362316030327,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Prostaglandin formation from dihomo gama-linoleic acid,2,2,-1,0.0127720359633644,0.265362316030327,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Vitamin B6 (pyridoxine) metabolism,6,7,0.857,0.012856062515755,0.543031290195394,MISAME,3-4 mo.,BEP/BEP,Upregulated,Negative
Vitamin H (biotin) metabolism,4,7,0.571,0.012856062515755,0.52715570120158,ELICIT,5 mo.,Az.,Upregulated,Negative
Bile acid biosynthesis,12,43,0.279,0.0129400890681455,0.192483824888665,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
Beta-Alanine metabolism,12,43,0.279,0.0129400890681455,0.192483824888665,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
Glycosphingolipid biosynthesis - globoseries,11,27,0.407,0.0131081421729266,0.27775443706878,MISAME,3-4 mo.,BEP/IFA,Upregulated,Negative
