"outcome_class","category","label","biomarker","study","visit","Control_N","Nico_N","BEP_N","Control_raw_mean","Nico_raw_mean","BEP_raw_mean","Control_raw_sd","Nico_raw_sd","BEP_raw_sd","Control_raw_median","Nico_raw_median","BEP_raw_median","Control_raw_q25","Nico_raw_q25","BEP_raw_q25","Control_raw_q75","Nico_raw_q75","BEP_raw_q75","ATE","ATE_cil","ATE_ciu","pval","pval_adj","sigFDR"
"secondary","Individual HMO containing Fucose","2’-fucosyllactose","X2.fl_pct","Vital","2 mo.",50,NA,100,22.3127539793488,NA,29.3840008798424,21.9105492951242,NA,20.5398364709172,21.1055539504955,NA,35.2651391057519,0.0911079748537256,NA,7.57428722376402,42.2351112904013,NA,44.1088239436462,5.04237741002246,-0.882892132826202,10.9676469528711,0.0953315235914776,0.328396401961104,0
"secondary","Individual HMO containing Fucose","3-fucosyllactose","X3fl_nmol.ml","Elicit","1 mo.",99,101,NA,297.432771658403,327.940848778432,NA,215.28910962406,308.515804001041,NA,243.523586240145,225.862389590935,NA,158.325600057267,119.819902183408,NA,378.389499389663,427.86924033929,NA,33.0171327878334,-39.1064361870161,105.140701762683,0.369589089083503,0.93523065603239,0
"secondary","Individual HMO containing Fucose","3-fucosyllactose","X3fl_pct","Elicit","1 mo.",99,101,NA,2.27205193403531,2.46286087001336,NA,2.34638219876904,2.57628971147199,NA,1.67738026176298,1.60357033335651,NA,0.824025894051185,0.825737425618717,NA,3.01888198872115,2.84614648373154,NA,0.201688527153302,-0.468783280395268,0.872160334701872,0.555466781482466,0.93523065603239,0
"secondary","Individual HMO containing Fucose","3-fucosyllactose","X3fl_nmol.ml","Elicit","5 mo.",99,100,NA,546.140316367563,563.007538146445,NA,313.126006243825,354.076225059345,NA,499.276699397286,471.803227798941,NA,354.622919256733,336.062129560752,NA,750.198021502966,768.230288368085,NA,23.0116109751784,-61.2545570447706,107.277778995127,0.592489612641062,0.998181792785883,0
"secondary","Individual HMO containing Fucose","3-fucosyllactose","X3fl_pct","Elicit","5 mo.",99,100,NA,7.34748836248062,7.86510627577978,NA,5.5595906899426,6.46788128162579,NA,6.06269194047917,5.769522614146,NA,3.63714891775377,3.27484943490599,NA,9.9024610546204,11.4030248107036,NA,0.51352074725608,-1.11680771027332,2.14384920478548,0.537004340200939,0.998181792785883,0
"secondary","Individual HMO containing Fucose","3-fucosyllactose","X3fl_nmol.ml","Misame","1-2 mo.",163,NA,124,1551.15588259498,NA,1808.15804422999,1447.51185775609,NA,1547.01756226929,1179.29420271926,NA,1339.6372562139,368.469113164512,NA,472.628880628257,2213.05050471525,NA,2595.3503929326,141.762025586182,-193.115480237207,476.63953140957,0.406707411677322,0.805858733738183,0
"secondary","Individual HMO containing Fucose","3-fucosyllactose","X3fl_pct","Misame","1-2 mo.",163,NA,124,12.6914032660225,NA,15.7042336145947,12.4430128708369,NA,14.3264294348859,8.78177999319673,NA,11.090704137373,3.20978354403362,NA,4.63337004892781,16.8820316453134,NA,22.7187101291856,1.36243686527993,-1.41727156726837,4.14214529782822,0.336728128435471,0.805858733738183,0
"secondary","Individual HMO containing Fucose","3-fucosyllactose","X3fl_pct","Misame","14-21 days",154,NA,122,6.24792903450821,NA,8.27199395734169,7.0435660993855,NA,8.81243849385649,4.15560761944354,NA,5.43475383881685,1.47053110976865,NA,2.33081213141482,8.02595774106794,NA,9.14818169293339,0.59898309170322,-1.20032666927163,2.39829285267806,0.514101730458634,0.819349632918448,0
"secondary","Individual HMO containing Fucose","3-fucosyllactose","X3fl_nmol.ml","Misame","14-21 days",154,NA,122,1119.38297706641,NA,1277.39692929988,1186.49982545979,NA,1149.46705127281,774.399621791153,NA,1006.82137855857,289.144924969812,NA,433.862032320112,1516.62164480405,NA,1631.91041950432,39.8120272615893,-222.354238775634,301.978293298813,0.765980934463383,0.930119706134108,0
"secondary","Individual HMO containing Fucose","3-fucosyllactose","X3fl_pct","Misame","3-4 mo.",157,NA,123,17.0875007226294,NA,20.3693408432453,15.3049842875467,NA,17.4528434352612,13.4133335049165,NA,16.9569300800831,3.67633931189896,NA,5.78284491476836,24.6564618465408,NA,29.2827019332786,0.486378983877028,-3.18865904447588,4.16141701222994,0.795330738669734,0.8817797320034,0
