"","VARNAME","variable_original","seq_original","label_original","MEMNAME","VISIT_ddf","TARGETVR_ddf","TESTCD_ddf","RELTIVE_ddf","N_ddf","Matched_Full"
"748","PN_CMUAC_CAT_9","pn_cmuac_cat_9",871,"Infant MUAC_category","MISAME3_WIDE",NA,NA,NA,NA,168,"missing"
"734","PN_CMUAC_12","pn_cmuac_12",872,"Infant MUAC_mean","MISAME3_WIDE",NA,NA,NA,NA,0,"missing"
"742","PN_CMUAC_CAT_12","pn_cmuac_cat_12",873,"Infant MUAC_category","MISAME3_WIDE",NA,NA,NA,NA,0,"missing"
"676","PN_CHC1_1","pn_chc1_1",874,"Infant head circumference_1","MISAME3_WIDE","Post Natal FU M01","HCIRCM",NA,NA,275,"yes"
"678","PN_CHC1_2","pn_chc1_2",875,"Infant head circumference_1","MISAME3_WIDE","Post Natal FU M02","HCIRCM",NA,NA,276,"yes"
"679","PN_CHC1_3","pn_chc1_3",876,"Infant head circumference_1","MISAME3_WIDE","Post Natal FU M03","HCIRCM",NA,NA,265,"yes"
"680","PN_CHC1_4","pn_chc1_4",877,"Infant head circumference_1","MISAME3_WIDE","Post Natal FU M04","HCIRCM",NA,NA,279,"yes"
"681","PN_CHC1_5","pn_chc1_5",878,"Infant head circumference_1","MISAME3_WIDE","Post Natal FU M05","HCIRCM",NA,NA,267,"yes"
"682","PN_CHC1_6","pn_chc1_6",879,"Infant head circumference_1","MISAME3_WIDE","Post Natal FU M06","HCIRCM",NA,NA,275,"yes"
"683","PN_CHC1_9","pn_chc1_9",880,"Infant head circumference_1","MISAME3_WIDE","Post Natal FU M09","HCIRCM",NA,NA,130,"yes"
"677","PN_CHC1_12","pn_chc1_12",881,"Infant head circumference_1","MISAME3_WIDE","Post Natal FU M12","HCIRCM",NA,NA,0,"missing"
"684","PN_CHC2_1","pn_chc2_1",882,"Infant head circumference_2","MISAME3_WIDE","Post Natal FU M01","HCIRCM",NA,NA,275,"yes"
"686","PN_CHC2_2","pn_chc2_2",883,"Infant head circumference_2","MISAME3_WIDE","Post Natal FU M02","HCIRCM",NA,NA,276,"yes"
"687","PN_CHC2_3","pn_chc2_3",884,"Infant head circumference_2","MISAME3_WIDE","Post Natal FU M03","HCIRCM",NA,NA,265,"yes"
"688","PN_CHC2_4","pn_chc2_4",885,"Infant head circumference_2","MISAME3_WIDE","Post Natal FU M04","HCIRCM",NA,NA,279,"yes"
"689","PN_CHC2_5","pn_chc2_5",886,"Infant head circumference_2","MISAME3_WIDE","Post Natal FU M05","HCIRCM",NA,NA,267,"yes"
"690","PN_CHC2_6","pn_chc2_6",887,"Infant head circumference_2","MISAME3_WIDE","Post Natal FU M06","HCIRCM",NA,NA,275,"yes"
"691","PN_CHC2_9","pn_chc2_9",888,"Infant head circumference_2","MISAME3_WIDE","Post Natal FU M09","HCIRCM",NA,NA,130,"yes"
"685","PN_CHC2_12","pn_chc2_12",889,"Infant head circumference_2","MISAME3_WIDE","Post Natal FU M12","HCIRCM",NA,NA,0,"missing"
"692","PN_CHC3_1","pn_chc3_1",890,"Infant head circumference_3","MISAME3_WIDE","Post Natal FU M01","HCIRCM",NA,NA,0,"missing"
"694","PN_CHC3_2","pn_chc3_2",891,"Infant head circumference_3","MISAME3_WIDE","Post Natal FU M02","HCIRCM",NA,NA,0,"missing"
"695","PN_CHC3_3","pn_chc3_3",892,"Infant head circumference_3","MISAME3_WIDE","Post Natal FU M03","HCIRCM",NA,NA,0,"missing"
"696","PN_CHC3_4","pn_chc3_4",893,"Infant head circumference_3","MISAME3_WIDE","Post Natal FU M04","HCIRCM",NA,NA,0,"missing"
"697","PN_CHC3_5","pn_chc3_5",894,"Infant head circumference_3","MISAME3_WIDE","Post Natal FU M05","HCIRCM",NA,NA,0,"missing"
"698","PN_CHC3_6","pn_chc3_6",895,"Infant head circumference_3","MISAME3_WIDE","Post Natal FU M06","HCIRCM",NA,NA,0,"missing"
"699","PN_CHC3_9","pn_chc3_9",896,"Infant head circumference_3","MISAME3_WIDE","Post Natal FU M09","HCIRCM",NA,NA,0,"missing"
"693","PN_CHC3_12","pn_chc3_12",897,"Infant head circumference_3","MISAME3_WIDE","Post Natal FU M12","HCIRCM",NA,NA,0,"missing"
"668","PN_CHC_1","pn_chc_1",898,"Infant head circumference_mean","MISAME3_WIDE",NA,NA,NA,NA,275,"missing"
"670","PN_CHC_2","pn_chc_2",899,"Infant head circumference_mean","MISAME3_WIDE",NA,NA,NA,NA,276,"missing"
"671","PN_CHC_3","pn_chc_3",900,"Infant head circumference_mean","MISAME3_WIDE",NA,NA,NA,NA,265,"missing"
"672","PN_CHC_4","pn_chc_4",901,"Infant head circumference_mean","MISAME3_WIDE",NA,NA,NA,NA,279,"missing"
"673","PN_CHC_5","pn_chc_5",902,"Infant head circumference_mean","MISAME3_WIDE",NA,NA,NA,NA,267,"missing"
"674","PN_CHC_6","pn_chc_6",903,"Infant head circumference_mean","MISAME3_WIDE",NA,NA,NA,NA,275,"missing"
"675","PN_CHC_9","pn_chc_9",904,"Infant head circumference_mean","MISAME3_WIDE",NA,NA,NA,NA,130,"missing"
