"","VARNAME","variable_original","seq_original","label_original","MEMNAME","VISIT_ddf","TARGETVR_ddf","TESTCD_ddf","RELTIVE_ddf","N_ddf","Matched_Full"
"31","ALT_8","ALT_8",174,"Alanine aminotransaminase (U/L) at eight months","ELICIT_METADATA_IMIC_042021","Lab visit 2","LBSTRESN","ALT","Child",200,"no"
"41","AST_8","AST_8",175,"Aspartate aminotransaminase (U/L) at eight months","ELICIT_METADATA_IMIC_042021","Lab visit 2","LBSTRESN","AST","Child",200,"no"
"48","BILIRUBIN_8","BILIRUBIN_8",176,"Bilirubin (umol/L) at eight months","ELICIT_METADATA_IMIC_042021","Lab visit 2","LBSTRESN","BILITOT","Child",200,"no"
"85","CREATININE_8","CREATININE_8",177,"Creatinine (mmol/L) at eight months","ELICIT_METADATA_IMIC_042021","Lab visit 2","LBSTRESN","CREATN","Child",200,"no"
"45","BICARB_8","BICARB_8",178,"Bicarbonate (mmol/L) at eight months","ELICIT_METADATA_IMIC_042021","Lab visit 2","LBSTRESN","BICARB","Child",200,"no"
"54","BUN_8","BUN_8",179,"Blood urea nitrogen (mmol/L) at eight months","ELICIT_METADATA_IMIC_042021","Lab visit 2","LBSTRESN","BUN","Child",200,"no"
"181","SODIUM_8","SODIUM_8",180,"Sodium (mmol/L) at eight months","ELICIT_METADATA_IMIC_042021","Lab visit 2","LBSTRESN","SOD","Child",200,"no"
"80","CHLORIDE_8","CHLORIDE_8",181,"Chloride (mmol/L) at eight months","ELICIT_METADATA_IMIC_042021","Lab visit 2","LBSTRESN","CHL","Child",200,"no"
"92","HB_18","HB_18",182,"Hemoglobin (g/dL) at eighteen months","ELICIT_METADATA_IMIC_042021","Lab visit 3","LBSTRESN","HGB","Child",200,"no"
"95","HCT_18","HCT_18",183,"Hematocrit (%) at eighteen months","ELICIT_METADATA_IMIC_042021","Lab visit 3","LBSTRESN","HCT","Child",200,"no"
"204","WBC_18","WBC_18",184,"White blood cell count (1000 cells/uL) at eight months","ELICIT_METADATA_IMIC_042021","Lab visit 3","LBSTRESN","WBC","Child",200,"no"
"171","PLATELETS_18","PLATELETS_18",185,"Platelets (platelets/uL) at eighteen months","ELICIT_METADATA_IMIC_042021","Lab visit 3","LBSTRESN","PLAT","Child",200,"no"
"29","ALT_18","ALT_18",186,"Alanine aminotransaminase (U/L) at eighteen months","ELICIT_METADATA_IMIC_042021","Lab visit 3","LBSTRESN","ALT","Child",200,"no"
"39","AST_18","AST_18",187,"Aspartate aminotransaminase (U/L) at eighteen months","ELICIT_METADATA_IMIC_042021","Lab visit 3","LBSTRESN","AST","Child",200,"no"
"46","BILIRUBIN_18","BILIRUBIN_18",188,"Bilirubin (umol/L) at eighteen months","ELICIT_METADATA_IMIC_042021","Lab visit 3","LBSTRESN","BILITOT","Child",200,"no"
"83","CREATININE_18","CREATININE_18",189,"Creatinine (mmol/L) at eighteen months","ELICIT_METADATA_IMIC_042021","Lab visit 3","LBSTRESN","CREATN","Child",200,"no"
"43","BICARB_18","BICARB_18",190,"Bicarbonate (mmol/L) at eighteen months","ELICIT_METADATA_IMIC_042021","Lab visit 3","LBSTRESN","BICARB","Child",200,"no"
"52","BUN_18","BUN_18",191,"Blood urea nitrogen (mmol/L) at eighteen months","ELICIT_METADATA_IMIC_042021","Lab visit 3","LBSTRESN","BUN","Child",200,"no"
"179","SODIUM_18","SODIUM_18",192,"Sodium (mmol/L) at eighteen months","ELICIT_METADATA_IMIC_042021","Lab visit 3","LBSTRESN","SOD","Child",200,"no"
"78","CHLORIDE_18","CHLORIDE_18",193,"Chloride (mmol/L) at eighteen months","ELICIT_METADATA_IMIC_042021","Lab visit 3","LBSTRESN","CHL","Child",200,"no"
"28","AGEMONTH",NA,NA,NA,"CHILD_ANTHRO",NA,"AGEDAYS",NA,NA,938,"yes"
"35","ANT_HEAD_CIRC",NA,NA,NA,"CHILD_ANTHRO","9 Months Visit","HCIRCM",NA,NA,938,"yes"
"36","ANT_HEIGHT",NA,NA,NA,"CHILD_ANTHRO","3 Months Visit","LENCM",NA,NA,938,"yes"
"42","BF_DUR",NA,NA,NA,"BREASTMILK_COLLECTION","5 Month Visit","GFSTRESC","BFEDDUR","Mother",400,"no"
"49","BMC_DATE_COLLECTED",NA,NA,NA,"BREASTMILK_COLLECTION",NA,"AGEDAYS",NA,NA,400,"yes"
"50","BMC_LAST_NICOPILL",NA,NA,NA,"BREASTMILK_COLLECTION","1 Month Visit","GFSTRESC","NICOBBCL","Mother",400,"no"
"51","BMC_TIME_COLLECTED",NA,NA,NA,"BREASTMILK_COLLECTION",NA,NA,NA,NA,400,"missing"
"77","CHILD_AGE_INMTHS",NA,NA,NA,"BREASTMILK_COLLECTION","1 Month Visit","VISIT",NA,"Mother",400,"yes"
"81","CMF_WEIGHT",NA,NA,NA,"CHILD_ANTHRO","6 Months Visit","WTKG",NA,NA,938,"yes"
"182","SPECIMENID",NA,NA,NA,"ELICIT_SAMPLEID_SUBJECTID","1 Month Visit","GFSTRESC","BMID","Mother",400,"no"
"193","VISIT",NA,NA,NA,"ELICIT_SAMPLEID_SUBJECTID",NA,"VISIT",NA,NA,400,"yes"
