study,timepoint,contrast,direction,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
Mumta-LW,2 mo.,BEP,up,Arachidonic Acid Metabolism,4,0.0976,1,0.0943,0.243,10.245901639344261
Mumta-LW,2 mo.,BEP,up,Betaine Metabolism,4,0.0976,1,0.0943,0.243,10.245901639344261
MISAME-III,3-4 mo.,BEP,up,Sphingolipid Metabolism,7,0.102,1,0.0985,0.276,9.803921568627452
MISAME-III,3-4 mo.,BEP,down,Phenylalanine and Tyrosine Metabolism,3,0.102,1,0.0991,0.405,-9.803921568627452
MISAME-III,3-4 mo.,BEP,down,Glycerolipid Metabolism,3,0.102,1,0.0991,0.405,-9.803921568627452
MISAME-III,3-4 mo.,BEP,down,Glucose-Alanine Cycle,3,0.102,1,0.0991,0.405,-9.803921568627452
MISAME-III,3-4 mo.,BEP,down,Fatty Acid Biosynthesis,3,0.102,1,0.0991,0.405,-9.803921568627452
MISAME-III,1-2 mo.,BEP,up,Tyrosine Metabolism,5,0.106,1,0.102,0.321,9.433962264150944
MISAME-III,1-2 mo.,BEP,up,"Valine, Leucine and Isoleucine Degradation",5,0.106,1,0.102,0.321,9.433962264150944
MISAME-III,1-2 mo.,BEP,up,Galactose Metabolism,5,0.106,1,0.102,0.321,9.433962264150944
Mumta-LW,2 mo.,BEP,down,Tryptophan Metabolism,6,0.107,1,0.103,0.288,-9.345794392523365
MISAME-III,14-21 days,BEP,down,Purine Metabolism,6,0.107,1,0.103,0.24,-9.345794392523365
MISAME-III,14-21 days,BEP,down,Tryptophan Metabolism,6,0.107,1,0.103,0.24,-9.345794392523365
Mumta-LW,1.5 mo.,BEP,down,Glutathione Metabolism,4,0.111,1,0.106,0.289,-9.00900900900901
Mumta-LW,1.5 mo.,BEP,down,Arachidonic Acid Metabolism,4,0.111,1,0.106,0.289,-9.00900900900901
ELICIT,5 mo.,Nico,down,Lysine Degradation,4,0.111,1,0.106,0.248,-9.00900900900901
ELICIT,5 mo.,Nico,down,Betaine Metabolism,4,0.111,1,0.106,0.248,-9.00900900900901
ELICIT,1 mo.,Nico,up,Beta-Alanine Metabolism,7,0.114,1,0.109,0.508,8.771929824561402
ELICIT,1 mo.,Nico,up,Sphingolipid Metabolism,7,0.114,1,0.109,0.508,8.771929824561402
ELICIT,5 mo.,Nico,up,Sphingolipid Metabolism,7,0.114,1,0.109,0.712,8.771929824561402
MISAME-III,3-4 mo.,BEP,up,Aspartate Metabolism,8,0.117,1,0.112,0.296,8.547008547008547
MISAME-III,3-4 mo.,BEP,up,Glutamate Metabolism,8,0.117,1,0.112,0.296,8.547008547008547
Mumta-LW,2 mo.,BEP,up,Alpha Linolenic Acid and Linoleic Acid Metabolism,5,0.122,1,0.117,0.293,8.19672131147541
ELICIT,1 mo.,Nico,down,Oxidation of Branched Chain Fatty Acids,4,0.124,1,0.118,0.313,-8.064516129032258
ELICIT,1 mo.,Nico,down,Lysine Degradation,4,0.124,1,0.118,0.313,-8.064516129032258
Mumta-LW,2 mo.,BEP,down,Ammonia Recycling,7,0.125,1,0.119,0.307,-8
Mumta-LW,2 mo.,BEP,down,Sphingolipid Metabolism,7,0.125,1,0.119,0.307,-8
Mumta-LW,2 mo.,BEP,down,Urea Cycle,7,0.125,1,0.119,0.307,-8
MISAME-III,14-21 days,BEP,down,Beta-Alanine Metabolism,7,0.125,1,0.119,0.26,-8
MISAME-III,14-21 days,BEP,down,Ammonia Recycling,7,0.125,1,0.119,0.26,-8
MISAME-III,14-21 days,BEP,down,Sphingolipid Metabolism,7,0.125,1,0.119,0.26,-8
MISAME-III,14-21 days,BEP,up,Glycine and Serine Metabolism,13,0.127,1,0.121,0.423,7.874015748031496
MISAME-III,1-2 mo.,BEP,down,Glycine and Serine Metabolism,13,0.613,2,0.121,0.441,-3.2626427406199023
ELICIT,1 mo.,Nico,up,Histidine Metabolism,8,0.13,1,0.124,0.55,7.692307692307692
MISAME-III,3-4 mo.,BEP,down,Lysine Degradation,4,0.137,1,0.13,0.49,-7.2992700729927
MISAME-III,3-4 mo.,BEP,down,Arachidonic Acid Metabolism,4,0.137,1,0.13,0.49,-7.2992700729927
Mumta-LW,1.5 mo.,BEP,down,Tyrosine Metabolism,5,0.138,1,0.131,0.321,-7.246376811594202
Mumta-LW,1.5 mo.,BEP,down,"Valine, Leucine and Isoleucine Degradation",5,0.138,1,0.131,0.321,-7.246376811594202
Mumta-LW,1.5 mo.,BEP,down,Galactose Metabolism,5,0.138,1,0.131,0.321,-7.246376811594202
Mumta-LW,1.5 mo.,BEP,down,Spermidine and Spermine Biosynthesis,5,0.138,1,0.131,0.321,-7.246376811594202
ELICIT,5 mo.,Nico,down,"Valine, Leucine and Isoleucine Degradation",5,0.138,1,0.131,0.292,-7.246376811594202
ELICIT,5 mo.,Nico,down,Galactose Metabolism,5,0.138,1,0.131,0.292,-7.246376811594202
Mumta-LW,2 mo.,BEP,down,Aspartate Metabolism,8,0.143,1,0.135,0.331,-6.993006993006993
Mumta-LW,2 mo.,BEP,down,Glutamate Metabolism,8,0.143,1,0.135,0.331,-6.993006993006993
MISAME-III,1-2 mo.,BEP,down,Phenylalanine and Tyrosine Metabolism,3,0.141,1,0.135,0.441,-7.092198581560284
MISAME-III,1-2 mo.,BEP,down,Propanoate Metabolism,3,0.141,1,0.135,0.441,-7.092198581560284
MISAME-III,1-2 mo.,BEP,down,Glycerolipid Metabolism,3,0.141,1,0.135,0.441,-7.092198581560284
MISAME-III,1-2 mo.,BEP,down,Amino Sugar Metabolism,3,0.141,1,0.135,0.441,-7.092198581560284
MISAME-III,1-2 mo.,BEP,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.141,1,0.135,0.441,-7.092198581560284
MISAME-III,1-2 mo.,BEP,down,Alanine Metabolism,3,0.141,1,0.135,0.441,-7.092198581560284
MISAME-III,1-2 mo.,BEP,down,Glucose-Alanine Cycle,3,0.141,1,0.135,0.441,-7.092198581560284
MISAME-III,14-21 days,BEP,down,Histidine Metabolism,8,0.143,1,0.135,0.288,-6.993006993006993
MISAME-III,14-21 days,BEP,up,Bile Acid Biosynthesis,15,0.146,1,0.138,0.467,6.849315068493151
MISAME-III,1-2 mo.,BEP,up,Beta-Alanine Metabolism,7,0.148,1,0.14,0.402,6.756756756756757
MISAME-III,1-2 mo.,BEP,up,Ammonia Recycling,7,0.148,1,0.14,0.402,6.756756756756757
MISAME-III,1-2 mo.,BEP,up,Sphingolipid Metabolism,7,0.148,1,0.14,0.402,6.756756756756757
ELICIT,1 mo.,Nico,down,Tyrosine Metabolism,5,0.154,1,0.146,0.348,-6.4935064935064934
ELICIT,1 mo.,Nico,down,"Valine, Leucine and Isoleucine Degradation",5,0.154,1,0.146,0.348,-6.4935064935064934
ELICIT,1 mo.,Nico,down,Galactose Metabolism,5,0.154,1,0.146,0.348,-6.4935064935064934
ELICIT,1 mo.,Nico,down,Spermidine and Spermine Biosynthesis,5,0.154,1,0.146,0.348,-6.4935064935064934
Mumta-LW,1.5 mo.,BEP,up,Glutamate Metabolism,8,0.156,1,0.147,0.653,6.410256410256411
MISAME-III,3-4 mo.,BEP,up,Methionine Metabolism,11,0.161,1,0.151,0.389,6.211180124223603
Mumta-LW,1.5 mo.,BEP,down,Tryptophan Metabolism,6,0.166,1,0.155,0.371,-6.024096385542168
MISAME-III,1-2 mo.,BEP,up,Histidine Metabolism,8,0.169,1,0.158,0.43,5.9171597633136095
MISAME-III,1-2 mo.,BEP,up,Aspartate Metabolism,8,0.169,1,0.158,0.43,5.9171597633136095
MISAME-III,3-4 mo.,BEP,down,Galactose Metabolism,5,0.171,1,0.16,0.56,-5.847953216374268
MISAME-III,3-4 mo.,BEP,down,Spermidine and Spermine Biosynthesis,5,0.171,1,0.16,0.56,-5.847953216374268
ELICIT,5 mo.,Nico,up,Methionine Metabolism,11,0.179,1,0.166,1,5.58659217877095
ELICIT,1 mo.,Nico,down,Tryptophan Metabolism,6,0.185,1,0.172,0.402,-5.405405405405405
MISAME-III,1-2 mo.,BEP,down,Glutathione Metabolism,4,0.189,1,0.176,0.523,-5.291005291005291
MISAME-III,1-2 mo.,BEP,down,Phospholipid Biosynthesis,4,0.189,1,0.176,0.523,-5.291005291005291
MISAME-III,1-2 mo.,BEP,down,Lysine Degradation,4,0.189,1,0.176,0.523,-5.291005291005291
Mumta-LW,1.5 mo.,BEP,down,Sphingolipid Metabolism,7,0.193,1,0.179,0.418,-5.181347150259067
ELICIT,5 mo.,Nico,down,Sphingolipid Metabolism,7,0.193,1,0.179,0.39,-5.181347150259067
Mumta-LW,1.5 mo.,BEP,up,Arginine and Proline Metabolism,10,0.195,1,0.18,0.767,5.128205128205128
ELICIT,5 mo.,Nico,up,Glycine and Serine Metabolism,13,0.211,1,0.194,1,4.739336492890995
MISAME-III,1-2 mo.,BEP,up,Arginine and Proline Metabolism,10,0.211,1,0.194,0.513,4.739336492890995
ELICIT,1 mo.,Nico,down,Beta-Alanine Metabolism,7,0.216,1,0.198,0.441,-4.62962962962963
ELICIT,1 mo.,Nico,down,Sphingolipid Metabolism,7,0.216,1,0.198,0.441,-4.62962962962963
MISAME-III,3-4 mo.,BEP,up,Bile Acid Biosynthesis,15,0.22,1,0.2,0.504,4.545454545454546
Mumta-LW,2 mo.,BEP,down,Glycine and Serine Metabolism,13,0.233,1,0.211,0.504,-4.291845493562231
MISAME-III,1-2 mo.,BEP,down,Tyrosine Metabolism,5,0.236,1,0.215,0.586,-4.237288135593221
MISAME-III,1-2 mo.,BEP,down,"Valine, Leucine and Isoleucine Degradation",5,0.236,1,0.215,0.586,-4.237288135593221
MISAME-III,1-2 mo.,BEP,down,Warburg Effect,5,0.236,1,0.215,0.586,-4.237288135593221
MISAME-III,3-4 mo.,BEP,down,Sphingolipid Metabolism,7,0.239,1,0.217,0.733,-4.184100418410042
ELICIT,1 mo.,Nico,down,Histidine Metabolism,8,0.247,1,0.223,0.486,-4.048582995951417
Mumta-LW,2 mo.,BEP,down,Bile Acid Biosynthesis,15,0.268,1,0.24,0.559,-3.731343283582089
MISAME-III,14-21 days,BEP,down,Bile Acid Biosynthesis,15,0.268,1,0.24,0.5,-3.731343283582089
MISAME-III,3-4 mo.,BEP,down,Aspartate Metabolism,8,0.273,1,0.244,0.797,-3.663003663003663
MISAME-III,1-2 mo.,BEP,down,Tryptophan Metabolism,6,0.283,1,0.253,0.669,-3.53356890459364
MISAME-III,1-2 mo.,BEP,down,Ammonia Recycling,7,0.33,1,0.288,0.743,-3.0303030303030303
ELICIT,1 mo.,Nico,down,Methionine Metabolism,11,0.34,1,0.294,0.626,-2.941176470588235
Mumta-LW,2 mo.,BEP,up,Bile Acid Biosynthesis,15,0.366,1,0.313,0.766,2.73224043715847
MISAME-III,3-4 mo.,BEP,down,Methionine Metabolism,11,0.376,1,0.32,1,-2.6595744680851063
MISAME-III,1-2 mo.,BEP,down,Aspartate Metabolism,8,0.377,1,0.322,0.789,-2.6525198938992043
MISAME-III,1-2 mo.,BEP,down,Glutamate Metabolism,8,0.377,1,0.322,0.789,-2.6525198938992043
