"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr"
"Vital (2 mo.)","BEP","up","Nicotinate and Nicotinamide Metabolism",2,1,0.0228,0.0227,0.317
"Vital (2 mo.)","BEP","up","Amino Sugar Metabolism",3,1,0.0341,0.0338,0.331
"Vital (2 mo.)","BEP","up","Alanine Metabolism",3,1,0.0341,0.0338,0.331
"Vital (2 mo.)","BEP","up","Glucose-Alanine Cycle",3,1,0.0341,0.0338,0.331
"Vital (2 mo.)","BEP","up","Glutathione Metabolism",4,1,0.0455,0.0449,0.4
"Vital (2 mo.)","BEP","up","Alpha Linolenic Acid and Linoleic Acid Metabolism",5,1,0.0569,0.0558,0.421
"Vital (2 mo.)","BEP","up","Warburg Effect",5,1,0.0569,0.0558,0.421
"Vital (2 mo.)","BEP","up","Tryptophan Metabolism",6,1,0.0683,0.0666,0.466
"Vital (2 mo.)","BEP","up","Ammonia Recycling",7,1,0.0797,0.0774,0.505
"Vital (2 mo.)","BEP","up","Aspartate Metabolism",8,1,0.0911,0.088,0.539
"Vital (2 mo.)","BEP","up","Glycine and Serine Metabolism",13,1,0.148,0.14,0.804
"Elicit (1 mo.)","Nico","down","Oxidation of Branched Chain Fatty Acids",4,3,0.065,1.23e-05,0.00121
"Elicit (1 mo.)","Nico","down","Beta Oxidation of Very Long Chain Fatty Acids",3,2,0.0488,0.000709,0.0347
"Elicit (1 mo.)","Nico","down","Carnitine Synthesis",5,2,0.0813,0.00232,0.0758
"Elicit (1 mo.)","Nico","down","Ketone Body Metabolism",1,1,0.0163,0.0163,0.228
"Elicit (1 mo.)","Nico","down","Butyrate Metabolism",1,1,0.0163,0.0163,0.228
"Elicit (1 mo.)","Nico","down","Mitochondrial Electron Transport Chain",1,1,0.0163,0.0163,0.228
"Elicit (1 mo.)","Nico","down","Phytanic Acid Peroxisomal Oxidation",1,1,0.0163,0.0163,0.228
"Elicit (1 mo.)","Nico","down","Fatty acid Metabolism",2,1,0.0325,0.0323,0.316
"Elicit (1 mo.)","Nico","down","Citric Acid Cycle",2,1,0.0325,0.0323,0.316
"Elicit (1 mo.)","Nico","down","Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids",2,1,0.0325,0.0323,0.316
"Elicit (1 mo.)","Nico","down","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",3,1,0.0488,0.0481,0.428
"Elicit (1 mo.)","Nico","down","Valine, Leucine and Isoleucine Degradation",5,1,0.0813,0.0789,0.595
"Elicit (1 mo.)","Nico","down","Warburg Effect",5,1,0.0813,0.0789,0.595
"Elicit (1 mo.)","Nico","down","Glutamate Metabolism",8,1,0.13,0.124,0.865
"Elicit (1 mo.)","Nico","down","Arginine and Proline Metabolism",10,1,0.163,0.152,0.995
"Elicit (1 mo.)","Nico","down","Methionine Metabolism",11,1,0.179,0.166,1
"Elicit (1 mo.)","Nico","down","Glycine and Serine Metabolism",13,1,0.211,0.194,1
"Elicit (1 mo.)","Nico","up","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",3,1,0.0195,0.0194,1
"Elicit (1 mo.)","Nico","up","Bile Acid Biosynthesis",15,1,0.0976,0.0943,1
"Elicit (5 mo.)","Nico","down","Malate-Aspartate Shuttle",2,1,0.013,0.013,0.557
"Elicit (5 mo.)","Nico","down","Tyrosine Metabolism",5,1,0.0325,0.0322,0.557
"Elicit (5 mo.)","Nico","down","Purine Metabolism",6,1,0.039,0.0385,0.557
"Elicit (5 mo.)","Nico","down","Tryptophan Metabolism",6,1,0.039,0.0385,0.557
"Elicit (5 mo.)","Nico","down","Beta-Alanine Metabolism",7,1,0.0455,0.0449,0.557
"Elicit (5 mo.)","Nico","down","Ammonia Recycling",7,1,0.0455,0.0449,0.557
"Elicit (5 mo.)","Nico","down","Urea Cycle",7,1,0.0455,0.0449,0.557
"Elicit (5 mo.)","Nico","down","Aspartate Metabolism",8,1,0.052,0.0511,0.557
"Elicit (5 mo.)","Nico","down","Glutamate Metabolism",8,1,0.052,0.0511,0.557
"Elicit (5 mo.)","Nico","down","Arginine and Proline Metabolism",10,1,0.065,0.0636,0.624
